Method,Name,Error,Occurrences
GET,/404-generator,RemoteDisconnected('Remote end closed connection without response'),2112
GET,/,RemoteDisconnected('Remote end closed connection without response'),10485
GET,/404-generator,"ConnectionResetError(104, 'Connection reset by peer')",116
GET,/,"ConnectionRefusedError(111, 'Connection refused')",252241
GET,/404-generator,"ConnectionRefusedError(111, 'Connection refused')",50526
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",600
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),25924
GET,/slow,"ConnectionResetError(104, 'Connection reset by peer')",267
GET,/404-generator,HTTPError('404 Client Error: Not Found for url: /404-generator'),261283
GET,/slow,RemoteDisconnected('Remote end closed connection without response'),4588
GET,/slow,"ConnectionRefusedError(111, 'Connection refused')",100195
