Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772861441,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772861442,10,,Aggregated,0.000000,0.000000,660,670,930,930,980,980,980,980,980,980,980,8,1,640.0,706.1057676237397,576.5001269901404,983.5591579903848,5.125
1772861443,20,,Aggregated,0.000000,0.000000,710,770,920,930,1100,1100,1100,1100,1100,1100,1100,20,3,710.0,754.2801075003808,568.0066940112738,1070.8294740034034,6.4
1772861444,30,,Aggregated,0.000000,0.000000,710,740,840,870,980,1100,1100,1100,1100,1100,1100,40,4,710.0,739.4952398757596,568.0066940112738,1070.8294740034034,5.75
1772861445,40,,Aggregated,5.000000,0.500000,710,770,820,840,940,1000,1100,1100,1100,1100,1100,63,5,710.0,741.8873422861835,557.8858450026019,1107.258980991901,5.412698412698413
1772861446,50,,Aggregated,7.666667,1.000000,730,800,850,890,980,1000,1100,1200,1200,1200,1200,87,8,730.0,761.3200094944251,557.8858450026019,1155.332128997543,5.448275862068965
1772861447,50,,Aggregated,10.750000,1.000000,730,800,870,910,980,1000,1100,1200,1200,1200,1200,118,12,730.0,763.7282282627539,557.8858450026019,1235.1528099970892,5.338983050847458
1772861448,50,,Aggregated,13.200000,1.000000,700,800,840,890,940,1000,1100,1200,1200,1200,1200,142,17,700.0,743.7892574649902,545.0796549994266,1235.1528099970892,5.295774647887324
1772861449,50,,Aggregated,15.833333,1.500000,720,790,840,880,940,1000,1100,1200,1200,1200,1200,173,20,720.0,752.1159271622982,545.0796549994266,1235.1528099970892,5.208092485549133
1772861450,50,,Aggregated,17.285714,1.857143,720,790,840,870,930,1000,1100,1100,1200,1200,1200,201,26,720.0,750.4758512592134,545.0796549994266,1235.1528099970892,5.333333333333333
1772861451,50,,Aggregated,18.375000,2.250000,720,790,840,870,940,1000,1100,1100,1200,1200,1200,231,35,720.0,754.528004818599,545.0796549994266,1235.1528099970892,5.454545454545454
1772861452,50,,Aggregated,20.222222,2.444444,730,780,840,870,960,1000,1100,1100,1200,1200,1200,260,41,730.0,755.5596189543744,545.0796549994266,1235.1528099970892,5.523076923076923
1772861453,50,,Aggregated,20.800000,3.000000,730,780,820,860,960,1000,1100,1100,1200,1200,1200,287,47,730.0,754.1289245162179,545.0796549994266,1235.1528099970892,5.613240418118467
1772861454,50,,Aggregated,23.500000,3.600000,720,780,820,870,960,1000,1100,1100,1200,1200,1200,315,55,720.0,754.9481593304783,545.0796549994266,1235.1528099970892,5.723809523809524
1772861455,50,,Aggregated,25.800000,4.200000,730,780,830,870,980,1000,1100,1100,1200,1200,1200,344,58,730.0,760.7215361310176,545.0796549994266,1235.1528099970892,5.700581395348837
1772861456,50,,Aggregated,27.000000,4.600000,730,780,820,870,980,1000,1100,1100,1200,1200,1200,369,60,730.0,757.3057005748921,545.0796549994266,1235.1528099970892,5.623306233062331
1772861457,50,,Aggregated,27.600000,5.100000,730,770,820,870,980,1000,1100,1200,1200,1200,1200,398,64,730.0,758.8183578772438,545.0796549994266,1235.1528099970892,5.603015075376884
1772861458,50,,Aggregated,28.500000,5.400000,720,770,810,860,980,1000,1100,1100,1200,1200,1200,426,69,720.0,756.081743103578,545.0796549994266,1235.1528099970892,5.60093896713615
1772861459,50,,Aggregated,27.900000,5.100000,720,770,820,870,970,1000,1100,1100,1200,1200,1200,452,72,720.0,756.4437213631072,545.0796549994266,1235.1528099970892,5.623893805309734
1772861460,50,,Aggregated,28.300000,5.200000,720,770,810,860,970,1000,1100,1100,1200,1200,1200,486,78,720.0,756.1446355126171,545.0796549994266,1235.1528099970892,5.648148148148148
1772861461,50,,Aggregated,28.600000,5.300000,720,770,810,850,960,1000,1100,1100,1200,1200,1200,513,81,720.0,753.0454806416996,545.0796549994266,1235.1528099970892,5.627680311890838
1772861462,50,,Aggregated,27.800000,5.200000,720,760,800,850,950,1000,1100,1100,1200,1200,1200,542,89,720.0,751.2411836073642,545.0796549994266,1235.1528099970892,5.645756457564576
1772861463,50,,Aggregated,28.400000,5.000000,710,760,800,850,950,1000,1100,1100,1200,1200,1200,568,93,710.0,749.7354908930095,545.0796549994266,1235.1528099970892,5.617957746478873
1772861464,50,,Aggregated,28.300000,4.600000,720,760,810,850,960,1000,1100,1100,1200,1200,1200,599,99,720.0,752.4549560738476,545.0796549994266,1235.1528099970892,5.62771285475793
